Time,Sum of Playercount
12/14/2017,21014611
12/15/2017,23589494
12/16/2017,28700442
12/17/2017,28414362
12/18/2017,20558508
12/19/2017,20481765
12/20/2017,21433029
12/21/2017,23154094
12/22/2017,27111081
12/23/2017,32860253
12/24/2017,30498215
12/25/2017,28145201
12/26/2017,29516839
12/27/2017,30998645
12/28/2017,31862847
12/29/2017,34050284
12/30/2017,36146711
12/31/2017,33094292
1/1/2018,32006911
1/2/2018,28616926
1/3/2018,28720483
1/4/2018,28869039
1/5/2018,31666891
1/6/2018,35494105
1/7/2018,33349363
1/8/2018,25300385
1/9/2018,23374244
1/10/2018,20824700
1/11/2018,12087458
1/12/2018,21784585
1/13/2018,27296131
1/14/2018,26082343
1/15/2018,19197711
1/16/2018,18504171
1/17/2018,17770971
1/18/2018,17422685
1/19/2018,17239320
1/20/2018,23227771
1/21/2018,22492640
1/22/2018,16670913
1/23/2018,15230801
1/24/2018,16057881
1/25/2018,16283236
1/26/2018,17227422
1/27/2018,20408286
1/28/2018,19736289
1/29/2018,14983664
1/30/2018,14749699
1/31/2018,14885550
2/1/2018,14589839
2/2/2018,12731235
2/3/2018,18312258
2/4/2018,18360728
2/5/2018,13762859
2/6/2018,13311944
2/7/2018,13347021
2/8/2018,12875177
2/9/2018,13931033
2/10/2018,1417509
2/11/2018,836818
2/12/2018,13530043
2/13/2018,13117859
2/14/2018,12510381
2/15/2018,12437346
2/16/2018,13921865
2/17/2018,17606580
2/18/2018,18879502
2/19/2018,16543855
2/20/2018,16435144
2/21/2018,15900640
2/22/2018,15931463
2/23/2018,16301737
2/24/2018,18721896
2/25/2018,18113386
2/26/2018,13278862
2/27/2018,13410377
2/28/2018,14129878
3/1/2018,13725759
3/2/2018,14719750
3/3/2018,18056812
3/4/2018,17251975
3/5/2018,11670185
3/6/2018,11203217
3/7/2018,11657658
3/8/2018,12020359
3/9/2018,13166663
3/10/2018,16458687
3/11/2018,15662030
3/12/2018,10519369
3/13/2018,10227214
3/14/2018,10159606
3/15/2018,10084009
3/16/2018,11906513
3/17/2018,15710061
3/18/2018,14836890
3/19/2018,10221728
3/20/2018,10225424
3/21/2018,10464608
3/22/2018,10530014
3/23/2018,12581769
3/24/2018,15937161
3/25/2018,15572445
3/26/2018,11766649
3/27/2018,12212961
3/28/2018,12914326
3/29/2018,14287727
3/30/2018,16381536
3/31/2018,18621856
4/1/2018,18299193
4/2/2018,14691288
4/3/2018,13173805
4/4/2018,13398810
4/5/2018,14258844
4/6/2018,14487189
4/7/2018,15832335
4/8/2018,14581286
4/9/2018,10641887
4/10/2018,10516561
4/11/2018,10684003
4/12/2018,10272766
4/13/2018,12075214
4/14/2018,15610654
4/15/2018,15027873
4/16/2018,10594274
4/17/2018,10345464
4/18/2018,10053612
4/19/2018,9747537
4/20/2018,10919894
4/21/2018,14224003
4/22/2018,13734568
4/23/2018,9505991
4/24/2018,9336408
4/25/2018,9316534
4/26/2018,9172411
4/27/2018,9936008
4/28/2018,12368548
4/29/2018,13560949
4/30/2018,12164021
5/1/2018,11515443
5/2/2018,9150745
5/3/2018,8518533
5/4/2018,9756890
5/5/2018,12485163
5/6/2018,12370560
5/7/2018,8830340
5/8/2018,9352817
5/9/2018,10566426
5/10/2018,11508738
5/11/2018,12944992
5/12/2018,16833850
5/13/2018,16578484
5/14/2018,11915220
5/15/2018,11847766
5/16/2018,11800237
5/17/2018,11359033
5/18/2018,12791982
5/19/2018,16559127
5/20/2018,16178748
5/21/2018,9094346
5/22/2018,9920067
5/23/2018,10823923
5/24/2018,10716718
5/25/2018,11978602
5/26/2018,14629532
5/27/2018,14163046
5/28/2018,11125869
5/29/2018,11248500
5/30/2018,11683484
5/31/2018,12276205
6/1/2018,12931600
6/2/2018,15301334
