Time,Sum of Playercount
12/14/2017,359489560
12/15/2017,411024096
12/16/2017,443528112
12/17/2017,417915489
12/18/2017,354798238
12/19/2017,360553569
12/20/2017,369641966
12/21/2017,227636270
12/22/2017,451650233
12/23/2017,492991089
12/24/2017,443090695
12/25/2017,400830089
12/26/2017,414598296
12/27/2017,424367234
12/28/2017,403563659
12/29/2017,489813329
12/30/2017,514775613
12/31/2017,501844521
1/1/2018,472791987
1/2/2018,443407487
1/3/2018,437599034
1/4/2018,437267317
1/5/2018,484155630
1/6/2018,528634087
1/7/2018,498644101
1/8/2018,429615955
1/9/2018,422248610
1/10/2018,401981415
1/11/2018,209087519
1/12/2018,459171568
1/13/2018,528853828
1/14/2018,514943748
1/15/2018,441533513
1/16/2018,439726378
1/17/2018,440284598
1/18/2018,437309294
1/19/2018,427076237
1/20/2018,517174062
1/21/2018,498298694
1/22/2018,433892804
1/23/2018,430910732
1/24/2018,433639504
1/25/2018,393661833
1/26/2018,469392713
1/27/2018,508564594
1/28/2018,498162744
1/29/2018,438430576
1/30/2018,426643224
1/31/2018,435699117
2/1/2018,380841876
2/2/2018,379071281
2/3/2018,476414323
2/4/2018,474248332
2/5/2018,425987335
2/6/2018,422998064
2/7/2018,417979526
2/8/2018,328839019
2/9/2018,423397010
2/10/2018,23999217
2/11/2018,12923768
2/12/2018,406375773
2/13/2018,388000679
2/14/2018,355657362
2/15/2018,292530961
2/16/2018,336830934
2/17/2018,358189483
2/18/2018,374575052
2/19/2018,380756696
2/20/2018,391352588
2/21/2018,405698627
2/22/2018,329052608
2/23/2018,415733966
2/24/2018,448616933
2/25/2018,447597740
2/26/2018,404264622
2/27/2018,409664984
2/28/2018,392701290
3/1/2018,407315701
3/2/2018,414628688
3/3/2018,460360060
3/4/2018,432006383
3/5/2018,364346855
3/6/2018,361959064
3/7/2018,365443111
3/8/2018,334096145
3/9/2018,376988798
3/10/2018,436316957
3/11/2018,422100442
3/12/2018,337917678
3/13/2018,272732292
3/14/2018,350224850
3/15/2018,351213822
3/16/2018,401282541
3/17/2018,462633486
3/18/2018,426270514
3/19/2018,338651822
3/20/2018,332789177
3/21/2018,330302646
3/22/2018,292487583
3/23/2018,366742403
3/24/2018,449023489
3/25/2018,400763931
3/26/2018,321600174
3/27/2018,296813229
3/28/2018,323037898
3/29/2018,333407857
3/30/2018,385505319
3/31/2018,423725527
4/1/2018,390718112
4/2/2018,307451845
4/3/2018,309561361
4/4/2018,360723717
4/5/2018,371328293
4/6/2018,402833637
4/7/2018,377546110
4/8/2018,335444127
4/9/2018,295861485
4/10/2018,294241373
4/11/2018,295721298
4/12/2018,237303705
4/13/2018,363404726
4/14/2018,403857183
4/15/2018,366591767
4/16/2018,272559012
4/17/2018,267006935
4/18/2018,269670922
4/19/2018,251907888
4/20/2018,330729384
4/21/2018,382627515
4/22/2018,361854268
4/23/2018,272937862
4/24/2018,267670493
4/25/2018,267992014
4/26/2018,250997536
4/27/2018,261233623
4/28/2018,306030278
4/29/2018,333331331
4/30/2018,330798072
5/1/2018,315351217
5/2/2018,263766460
5/3/2018,203032390
5/4/2018,293744865
5/5/2018,352245637
5/6/2018,332997015
5/7/2018,259897342
5/8/2018,250207155
5/9/2018,249297005
5/10/2018,236630265
5/11/2018,270800541
5/12/2018,314856098
5/13/2018,287127346
5/14/2018,222715867
5/15/2018,228267219
5/16/2018,229459555
5/17/2018,201401109
5/18/2018,262082597
5/19/2018,304707600
5/20/2018,278041338
5/21/2018,226474442
5/22/2018,220051385
5/23/2018,215190285
5/24/2018,203217930
5/25/2018,245881687
5/26/2018,282996943
5/27/2018,262428917
5/28/2018,208254527
5/29/2018,210187786
5/30/2018,215527554
5/31/2018,169648589
6/1/2018,241888515
6/2/2018,266469355
6/3/2018,262346276
6/4/2018,218281390
6/5/2018,228661616
6/6/2018,230033323
6/7/2018,218506363
6/8/2018,242976675
6/9/2018,264048758
6/10/2018,269177873
6/11/2018,212086271
6/12/2018,212608130
6/13/2018,219908464
6/14/2018,196783751
6/15/2018,228176085
6/16/2018,250972288
6/17/2018,258783671
6/18/2018,232156404
6/19/2018,200171447
6/20/2018,201509120
6/21/2018,201342067
6/22/2018,200172343
6/23/2018,257951486
6/24/2018,276800800
6/25/2018,230987142
6/26/2018,225781085
6/27/2018,216267144
6/28/2018,179573004
6/29/2018,212014864
6/30/2018,231250882
7/1/2018,227364385
7/2/2018,195083748
7/3/2018,196240463
7/4/2018,195807734
7/5/2018,149046253
7/6/2018,201617867
7/7/2018,218202303
7/8/2018,221764340
7/9/2018,192680665
7/10/2018,190452538
7/11/2018,190102571
7/12/2018,171326218
7/13/2018,196648778
7/14/2018,215403584
7/15/2018,211394961
7/16/2018,185523646
7/17/2018,184647613
7/18/2018,187762965
7/19/2018,172984302
7/20/2018,208396079
7/21/2018,225351122
7/22/2018,223146064
7/23/2018,190203623
7/24/2018,193365348
7/25/2018,178659139
7/26/2018,194015517
7/27/2018,199472416
7/28/2018,213547077
7/29/2018,209918140
7/30/2018,196155687
7/31/2018,194907405
8/1/2018,184047043
8/2/2018,188644118
8/3/2018,194269490
8/4/2018,209002671
8/5/2018,205593643
8/6/2018,183191041
8/7/2018,175740788
8/8/2018,144724086
8/9/2018,177392359
8/10/2018,178089203
8/11/2018,196073773
8/12/2018,196887152
8/13/2018,172377914
8/14/2018,164044373
8/15/2018,172247845
8/16/2018,166641321
8/17/2018,171392483
8/18/2018,196760600
8/19/2018,195807022
8/20/2018,172385133
8/21/2018,170636818
8/22/2018,168669069
8/23/2018,160816403
8/24/2018,181859354
8/25/2018,196675694
8/26/2018,194287045
8/27/2018,163380251
8/28/2018,163841659
8/29/2018,151311254
8/30/2018,161969606
8/31/2018,171990487
9/1/2018,188581792
9/2/2018,182957141
9/3/2018,152538938
9/4/2018,157480756
9/5/2018,137079915
9/6/2018,142976740
9/7/2018,157381215
9/8/2018,182413083
9/9/2018,172127204
9/10/2018,135063404
9/11/2018,135116139
9/12/2018,122596740
9/13/2018,149276405
9/14/2018,159234519
9/15/2018,190822617
9/16/2018,183907304
9/17/2018,145300518
9/18/2018,139799930
9/19/2018,133874862
9/20/2018,141721562
9/21/2018,159070075
9/22/2018,182745711
9/23/2018,189451107
9/24/2018,166108313
9/25/2018,144742435
9/26/2018,143331336
9/27/2018,128146770
9/28/2018,138948258
9/29/2018,150215419
9/30/2018,165257058
10/1/2018,161501360
10/2/2018,157509934
10/3/2018,127310444
10/4/2018,153903905
10/5/2018,144716130
10/6/2018,172777067
10/7/2018,162995646
10/8/2018,134288082
10/9/2018,134777877
10/10/2018,119247011
10/11/2018,123572404
10/12/2018,138528013
10/13/2018,161616910
10/14/2018,155102534
10/15/2018,122480188
10/16/2018,117612509
10/17/2018,95906614
10/18/2018,119334993
10/19/2018,134815348
10/20/2018,152362986
10/21/2018,149487256
10/22/2018,118984406
10/23/2018,112550515
10/24/2018,106518651
10/25/2018,121858936
10/26/2018,135984106
10/27/2018,153652131
10/28/2018,148195019
10/29/2018,118387974
10/30/2018,116809169
10/31/2018,116478035
11/1/2018,109940390
